PD,ED,LSI,AWMSI,AI,CONTAG,SHDI,FP,GP,WP,FVC,ECV,BP,POP,GDP,UEI
-0.17845495,0.03784937,-0.07910428,-0.00018388762,0.0500069,0.06247049,0.036009163,0.6000128,0.18214215,0.4015149,0.1667082,0.003340594,0.45578644,0.29662147,0.20509978,0.04522878
0.29580057,0.15434784,0.046865143,-0.003331465,-0.14582376,-0.09070231,-0.15895876,0.5567246,-0.054631535,-1.8303033,0.5758626,-0.18205835,0.20202835,0.3026316,0.12739398,-0.13887851
-0.33214402,0.061907634,-0.118521385,-0.10208598,-0.02907721,0.088908106,0.10896177,0.6588689,-0.086809024,0.3621709,0.2821966,0.73425347,0.019099893,0.27688062,-0.11983868,0.050347112
-0.10166541,0.24245131,0.084205635,-0.10582443,0.05234572,0.112499245,0.03173323,0.39442497,-0.05233819,0.39479545,0.2427982,-0.26743144,-0.060875457,-0.040946353,0.18625647,0.03299419
-0.06471918,-0.2875085,0.035331346,0.07636328,-0.121615864,-0.14183344,-0.13128862,0.5042129,0.03497235,-3.6772947,0.64420456,0.3634293,-0.0075835898,0.39653242,0.07998247,-0.12669715
-0.014057595,-0.26171732,-0.038901113,0.060767394,0.11745581,-0.0046530664,-0.03440418,-0.8466801,-0.06366983,0.30850378,0.24726348,-0.2521592,0.026693476,-0.49158433,0.18651882,-0.051031623
-0.20059249,-0.27787694,-0.056629714,0.03128138,0.13129237,-0.019812731,-0.08158586,-0.55218405,-0.0807984,0.31497392,0.1480412,-0.10407903,-0.06491162,-0.5077086,0.16344322,-0.029581942
-0.103337385,0.024926003,-0.08126139,0.07962923,0.03504167,0.059673388,0.04617444,0.879722,0.15354621,0.42700088,0.094297595,0.4312428,0.44246453,0.29892564,0.12114625,0.064149134
-0.15049882,-0.20477627,-0.021094367,0.07682195,0.1169216,0.0067578056,-0.029866721,-0.971975,-0.04285788,0.25946638,-0.6916075,-0.27262747,-0.28141922,-0.042639986,0.14334986,-0.033476412
-0.17752746,-0.2561987,-0.05150446,0.038460236,-0.28885153,-0.14978641,-0.12738663,-2.1530325,0.10131866,0.27024037,0.41764688,-0.3238292,-0.37784177,-0.67374325,0.1736654,-0.063256755
0.3621353,0.386881,0.012473039,-0.1990336,0.14067236,-0.0392737,-0.17634346,0.5175868,-0.03430047,-11.789065,-0.1492164,0.23482975,-0.055673752,-0.6173265,0.28861383,-1.9658967
0.26261538,-0.18088712,-0.09734827,0.53354555,-0.42060086,-0.1996018,-0.13244596,0.44504735,-0.06813973,-9.423796,-0.49896505,-0.09572173,0.21120338,-0.99383956,0.09234311,-0.59421927
0.40610963,0.39433894,0.13223381,-0.08224847,-0.051655952,0.1270342,0.092718534,0.77686155,-0.04493768,0.4149737,0.46207032,0.32674098,-0.024498368,0.18587352,0.12178358,0.17646146
-0.06487177,0.021557575,-0.068349294,-0.017960424,0.04500903,0.051031355,0.023111481,0.25404882,-0.053731237,0.319895,0.29567513,-0.35048583,-0.5601593,0.20218088,-0.18949766,0.54589766
0.32064873,0.29025093,0.09353059,0.051635623,0.017875055,0.089121185,-0.022124162,-0.06757859,-0.047230493,0.3577286,0.24457827,-0.2788001,-0.0806217,0.12275911,0.16854647,-0.07828355
