LID,Year,lon,lat,PD,ED,LSI,AWMSI,AI,CONTAG,SHDI,FP,GP,WP,FVC,ECV,BP,POP,GDP,UEI,Temperature,Coupling Coordination Level
P19,2023,671107.2035,3802753.56,8.4016,73.0939,3.0435,2.3726,79.2952,36.4275,0.5468,0.200460054,0.030704898,0.002194547,0.64043951,0.045721631,0.040717578,72,0.857599676,0,37.5830861,3
P363,2023,698707.2035,3813103.56,4.2008,38.4373,1.5556,1.3677,95.4128,37.8833,0.6374,0.082137849,0.003780718,0.252156299,0.629487753,0.063443431,0.445023565,800,7.904875755,1.003935929,40.24667462,5
P374,2023,697327.2035,3797233.56,16.8032,51.6698,3.0588,1.2384,71.0744,54.3858,0.3872,0.127746593,0.001890359,0.005211926,0.755240321,0.075805709,0.023161379,131,0.650805831,-1.854711394,39.27685264,3
P834,2023,691807.2035,3819313.56,6.3012,24.5747,1.75,1.1132,87.7551,64.9401,0.3418,0.106433665,0.003780718,0.001037954,0.776877642,0.024419916,0.027646623,359,12.94618797,0,38.72712134,4
P1093,2023,700777.2035,3831733.56,6.3012,72.4638,2.093,1.7912,94.4247,45.3901,0.4439,0.717663031,0.116535412,0.003780718,0.880768239,0.062960316,0,67,0.650805831,0,30.8709388,2
P1107,2023,695947.2035,3804823.56,8.4016,63.012,3.2353,2.3482,68.595,52.1462,0.3872,0.079395085,0.042029134,0.007579355,0.725545943,0.049889627,0.106829813,145,7.697261333,0,39.64668219,4
P1251,2023,720097.2035,3833803.56,12.6024,51.6698,3.1429,1.6863,61.5385,62.39,0.2954,0.030621083,0.02268431,0.031181967,0.537115812,0.086835925,0.868051207,94,16.57756042,-0.519380599,41.56345216,5
P1367,2023,671797.2035,3802753.56,8.4016,49.1493,2.75,1.8383,71.4286,58.8232,0.3418,0.087397754,0.013232514,0.002438577,0.674376845,0.041346172,0.005671078,223,0.965344489,0,37.68086563,2
P1378,2023,696637.2035,3825523.56,6.3012,104.5999,3,2.8068,87.4074,18.1126,0.6895,0.399923537,0.059782729,0.071833648,0.800320268,0.072387268,0.05681776,208,1.666552901,0,36.59195287,3
P1851,2023,733207.2035,3818623.56,6.3012,13.8626,1.7778,1.3088,72,83.9248,0.1421,0.022762874,0.003780718,0.005671078,0.698073208,0.034631505,0.433159781,842,2.252217293,4.098196571,40.69147467,4
P1856,2023,690427.2035,3817243.56,2.1004,109.0107,3.1111,3.1111,86.9863,18.3011,0.6783,0.480620689,0.039697543,0.054820416,0.843828499,0.074109138,0.012296294,248,42.58895493,-2.664982609,35.65708211,5
P2490,2023,703537.2035,3862783.56,6.3012,39.6975,1.9259,1.4616,92.3077,37.5582,0.6361,0.033693037,0.001908278,0.286999627,0.408172309,0.287186564,0.243103828,113,4.946421623,-1.612070893,31.65626777,4
P2683,2023,692497.2035,3810343.56,14.7028,39.6975,2.8462,1.2469,61.9048,67.9885,0.2584,0.055422195,0.011342155,0.000477069,0.707544506,0.047605677,0.026465028,130,3.181622505,0,39.89203354,3
P2834,2023,702847.2035,3820003.56,8.4016,72.4638,2.4444,1.6013,91.2162,25.9049,0.6755,0.204900985,0.001890359,0.382194457,0.686623096,0.074125391,0.011342155,183,1.718070149,-5.028946966,33.18105087,3
P3185,2023,719407.2035,3826213.56,21.004,63.6421,4,1.442,48.7805,59.6286,0.3042,0.078954672,0.007269916,0.006148147,0.673910201,0.089754678,0.059471458,557,79.26118469,0,36.84204107,5
P3290,2023,720097.2035,3826213.56,8.4016,44.1084,2.25,1.7609,81.8182,58.0064,0.3651,0.112616304,0.003780718,0.003303649,0.665470481,0.064174709,0.096538279,566,72.00598145,21.32447473,37.2645581,5
P3299,2023,701467.2035,3826213.56,21.004,93.2577,4.15,2.3739,62.0482,40.0436,0.465,0.070462266,0.093533234,0.007561437,0.700617611,0.07126817,0.097589913,245,1.322383285,-1.098396886,39.59261675,3
P3313,2023,702157.2035,3820003.56,4.2008,71.2035,2.9231,2.1862,83.5526,30.6565,0.6206,0.128414462,0.000518977,0.184669312,0.705898941,0.0401929,0.048111384,260,1.625595808,-3.756786129,36.63986627,3
P3354,2023,691117.2035,3801373.56,2.1004,61.1216,1.7568,1.7568,95.6454,30.4548,0.6518,0.070628064,0.011342155,0.562141199,0.607356191,0.03826416,0.039435262,175,1.84578526,-0.91486061,33.16195973,3
P3495,2023,681457.2035,3799993.56,14.7028,46.6289,2.8571,1.9496,63.8889,64.5421,0.2819,0.06979541,0.011342155,0.002742764,0.746638477,0.038574624,0.45452627,370,0.877078712,1.451982791,38.79217391,4
P3654,2023,692497.2035,3822073.56,8.4016,80.6553,2.5,2.2096,90.625,22.9631,0.6889,0.397275375,0.007561437,0.144822057,0.740594029,0.044764586,0.011890373,275,1.703820705,-13.38432588,34.94610457,3
P3664,2023,690427.2035,3837943.56,2.1004,46.6289,1.8222,1.8222,96.1257,70.9342,0.2125,0.927647375,0.014603896,0.001890359,0.894370019,0.129075881,0.028355388,30,0.582940102,0,33.35550913,3
P3708,2023,682147.2035,3801373.56,8.4016,56.0807,2.6667,1.5297,80.663,45.0514,0.4876,0.050019662,0.013232514,0.134247919,0.728069842,0.048385786,0.130083436,332,0.920890331,-0.286474927,36.74899367,4
P4140,2023,718717.2035,3834493.56,25.2048,115.942,4.1923,1.6763,71.7687,22.9733,0.6129,0.156710024,0.121220752,0.01923702,0.686464548,0.081191916,0.208933722,98,21.45082855,-0.259146816,36.44245389,5
P4186,2023,669727.2035,3803443.56,12.6024,28.3554,2.7,1.1925,52.7778,77.3338,0.1788,0.009266247,0.014747538,0.020811869,0.626460373,0.029329986,0.048237107,300,0.908194542,0.815746195,38.6725754,3
P4282,2023,694567.2035,3833803.56,8.4016,85.0662,2.625,2.4678,91.0714,30.6134,0.5873,0.695290566,0.015683758,0.009303916,0.858200192,0.045764166,0.012101255,47,0.62672472,0,32.14336558,3
P4545,2023,676627.2035,3827593.56,21.004,66.7927,3.8667,1.4059,51.6854,57.5121,0.3213,0.075834407,0.003780718,0.018903592,0.732611775,0.037187257,0.119336989,253,1.124266505,0,38.77618991,3
P4636,2023,680767.2035,3820693.56,8.4016,53.5602,1.9697,1.5862,93.6634,29.2065,0.693,0.276830103,0.011485796,0.230182586,0.837459981,0.051901821,0.08211386,181,7.231266499,0,32.95291305,4
P4638,2023,721477.2035,3834493.56,12.6024,39.0674,2.5385,1.1665,69.2308,67.7043,0.2632,0.04115274,0.000518977,0.032136106,0.558471739,0.105793291,0.521370878,179,16.57530594,-0.072252979,38.81959542,5
P5016,2023,704917.2035,3805513.56,10.502,65.5325,3.2632,1.8442,72.2581,46.4481,0.447,0.003780718,0.123791648,0.0427181,0.604762733,0.0714427,0.143284877,307,6.640172958,-0.054011991,38.79395281,4
P153,2023,785647.2035,3870373.56,18.9036,62.3819,3.1667,1.4339,69.5312,51.0256,0.4013,0,0.006625216,0.124875748,0.175933197,0.0307684,0.685253323,20,2.495290756,55.45345345,32.62476947,5
P488,2023,682837.2035,3816553.56,8.4016,20.794,1.4,1.097,95.5556,55.2369,0.4848,0,0.005671078,0.172539303,0.57125324,0.024024788,0.152009991,1229,50.69367599,4.151880245,39.0146395,5
P513,2023,680767.2035,3811723.56,10.502,75.6144,3.5,2.1571,67.8571,46.8353,0.4216,0,0.119354908,0.030722816,0.529198825,0.019191946,0.17271353,137,2.302098513,0.055397026,42.34984123,4
P517,2023,744937.2035,3866923.56,12.6024,27.0951,2.1538,1.3557,78.2609,69.7181,0.2726,0,0.001890359,0.080321816,0.289747179,0.041205148,0.827404777,18,32.17008972,2.407002193,25.36782035,5
P1528,2023,782887.2035,3871063.56,8.4016,12.6024,2,1,28.5714,91.1593,0.0621,0,0.001890359,0.01048975,0.538013279,0.049318799,0.564831746,12,0.964111447,3.77905708,43.42226008,4
P1803,2023,789787.2035,3868993.56,4.2008,86.3264,2.7586,2.267,86.4721,23.6998,0.6659,0,0.003780718,0.376596885,0.534573257,0.035230024,0.192552522,10,1.907727003,44.37428821,45.01794007,4
P1888,2023,684907.2035,3858643.56,6.3012,40.3277,1.5938,1.4041,95.9916,33.0654,0.6922,0,0.003780718,0.473462436,0.573263109,0.064564238,0.420664784,37,1.98675561,0.55235091,31.36039206,5
P2190,2023,787717.2035,3869683.56,8.4016,85.6963,3.7143,2.5493,71.066,37.3158,0.5087,0,0.1725459,0.034546455,0.319055706,0.045885009,0.287115566,10,1.458523631,1740.504801,41.09805869,4
P2479,2023,681457.2035,3813103.56,18.9036,80.0252,3.85,1.6969,65.2439,42.4457,0.462,0,0.163361635,0.005671078,0.437315464,0.026590085,0.207939509,244,9.318598747,6.829268293,44.20547612,4
P2748,2023,786337.2035,3870373.56,21.004,67.4228,3.9333,1.5249,49.4253,57.8333,0.3171,0,0.084213757,0.011675583,0.23210448,0.037912574,0.196215753,23,2.231132984,1.324734495,45.27075288,4
P3259,2023,688357.2035,3830353.56,2.1004,5.041,1,1,100,95.3548,0.035,0,0.000518977,0.005671078,0.60646683,0.060655232,0.647793821,371,0.958095849,0.296135785,41.43487941,5
P3832,2023,681457.2035,3811723.56,8.4016,40.3277,2.4,1.35,75.2941,63.1963,0.3129,0,0.06089607,0.029768677,0.568134964,0.030538616,0.063090617,219,2.81504941,0.458285033,39.52265593,3
P3888,2023,686287.2035,3857263.56,8.4016,60.4915,1.95,1.3054,94.8087,36.1621,0.5836,0,0.014663722,0.713363336,0.52946955,0.035510775,0.234069276,4,3.097515106,-7.699219753,23.09778167,4
P4277,2023,686287.2035,3857953.56,16.8032,143.0372,4.7778,2.882,68.4211,17.11,0.6348,0,0.045785863,0.287354344,0.41559428,0.091871431,0.618216764,17,3.199578285,76.26481424,28.84076112,5
P4478,2023,734558.1743,3870333.367,4.884,28.5714,1.4667,1.3634,96.6507,36.7395,0.693,0,0.00218786,0.479905785,0.500634253,0.009365519,0.330094721,0,4.353236198,-2.210502359,33.43354057,5
P4618,2023,675937.2035,3813103.56,12.6024,69.3132,2.9524,1.5545,78.0749,41.5544,0.4956,0,0.189179558,0.009451796,0.63695693,0.032738828,0.051039698,123,1.723819017,0,41.57847246,3
P4888,2023,704227.2035,3805513.56,8.4016,29.6156,2.1538,1.2188,78.2609,69.0881,0.2726,0,0.077856072,0.000130974,0.670130432,0.082752039,0.029231782,212,5.298062325,4.676834889,39.6467205,3
P4893,2023,670417.2035,3803443.56,6.3012,46.6289,1.7917,1.5712,92.803,39.6096,0.5854,0,0.003303649,0.26986221,0.640220582,0.019706676,0.05241108,284,0.892081559,-0.196099159,35.24699693,3
P178,2023,668339.8442,3853769.103,0,0,0,0,0,0,0,0,0.002172949,0.185038729,0.46555981,0.016473583,0.563422798,52,0.650805831,8.437451722,26.33269926,3
P4579,2023,680123.6937,3857854.274,0,0,0,0,0,0,0,0,0.00559759,0.253797017,0.415322661,0.047899635,0.626360627,4,0.725737154,0.537976749,29.00701183,4
P5035,2023,683527.2035,3814483.56,12.6024,23.9445,2.625,1,45.8333,82.1052,0.1356,0,0.024574669,0.004716939,0.471051574,0.023266893,0.277947387,568,37.89959717,21.30111036,43.0084836,5
P5,2023,729757.2035,3866233.56,10.502,31.506,2.3333,1.2313,72.4138,71.044,0.2436,0.025946051,0,0.040651681,0.773225546,0.060952711,0.568867136,881,17.93163681,0,38.41534043,5
P23,2023,711127.2035,3846223.56,8.4016,23.9445,2.2222,1.2214,64.5161,79.8267,0.1609,0.015122873,0,0.023722264,0.740408182,0.07052144,0.049209164,185,2.764460325,0.213175183,38.11538096,3
P80,2023,726307.2035,3871063.56,18.9036,112.1613,3.3333,1.7626,84.507,16.4499,0.6931,0.105087285,0,0.394133333,0.745025456,0.107088462,0.321891358,101,12.85295582,1.446186139,30.82507636,5
P85,2023,711127.2035,3845533.56,16.8032,52.9301,3.0714,1.3244,59.7222,63.3772,0.2819,0.077504726,0,0.002742764,0.748255312,0.087675461,0.043609235,159,2.295300484,8.229972539,36.73491647,3
P129,2023,735967.2035,3837943.56,8.4016,40.9578,2.625,1.5227,75,59.6115,0.3536,0.016447097,0,0.088607577,0.733274996,0.074560245,0.219722077,448,18.04177856,0.814634448,36.53808969,4
P281,2023,706987.2035,3864853.56,23.1044,51.6698,3.8333,1.219,41.3793,67.2761,0.2436,0.033275793,0,0.036393894,0.701315701,0.184107187,0.126051272,220,2.478005886,0,33.80347885,3
P437,2023,714577.2035,3847603.56,4.2008,17.6434,1.75,1.1619,72.7273,84.0436,0.129,0.009451796,0,0.018903592,0.689920306,0.055813116,0.310967791,596,6.14209938,1.609511009,40.34463414,4
P453,2023,732517.2035,3831043.56,6.3012,101.4493,3.5185,2.807,78.4127,23.9244,0.6293,0.301339888,0,0.034026465,0.753350556,0.04996325,0.08899476,444,4.510072231,0.434044467,36.12720107,4
P471,2023,747697.2035,3806203.56,4.2008,5.6711,1.5,1,50,94.4029,0.0445,0.005671078,0,0.00141329,0.724357069,0.030315607,0.285830892,601,8.296647072,0.201034254,45.60709155,4
P527,2023,686977.2035,3856573.56,6.3012,40.3277,1.3429,1.227,97.8533,33.5497,0.6856,0.001890359,0,0.556086357,0.456898481,0.096586866,0.207610319,231,5.921046257,-6.144723276,26.40072268,4
P628,2023,722857.2035,3825523.56,10.502,56.7108,2.4286,1.2817,84.2932,43.8574,0.5009,0.005671078,0,0.197862764,0.594817638,0.057002042,0.148921131,270,18.22967339,6.008033903,34.08855024,4
P861,2023,717337.2035,3855883.56,2.1004,11.9723,1.4286,1.4286,80,87.8544,0.1011,0.003780718,0,0.017490302,0.701268792,0.041581239,0.299462732,278,58.9705162,1.746919197,44.31442786,5
P914,2023,753217.2035,3827593.56,8.4016,12.6024,2,1,28.5714,91.1593,0.0621,0.007561437,0,0.003780718,0.770984828,0.031295362,0.165604161,396,3.496353626,0.70918129,44.52774752,3
P932,2023,735967.2035,3818623.56,6.3012,42.218,2.7692,1.8945,66.6667,66.2289,0.2726,0.009785224,0,0.068070848,0.644884467,0.055249482,0.112372274,586,7.824623585,1.34571339,37.72040205,4
P1086,2023,753907.2035,3804133.56,2.1004,24.5747,1.6471,1.6471,91.3386,60.6107,0.3978,0.001890359,0,0.133528894,0.71093601,0.062959786,0.07341982,157,2.021003008,9.546652169,41.70417737,3
