LID,Year,lon,lat,PD,ED,LSI,AWMSI,AI,CONTAG,SHDI,FP,GP,WP,FVC,ECV,BP,POP,GDP,UEI,LST,Coupling_Coordination_Level,WS,Tair,SRAD,RH,PRE
P1,2023,709747.2035,3818623.56,10.502,21.4241,2.375,1.1333,50,83.2111,0.129,0.028140598,0,0,0.733281374,0.064520626,0.029435249,258,2.87364006,6.913688873,40.76475435,3,3.240858078,300.6381226,345.3334961,41.04041672,0
P2,2023,709747.2035,3854503.56,0,0,0,0,0,0,0,0,0,0,0.423637092,0.048576957,0.983172316,5209,75.25335693,0,43.85320064,4,3.478278399,302.8649292,328.7558594,37.45297241,0
P3,2023,670417.2035,3853123.56,0,0,0,0,0,0,0,0,0,0,0.685646296,0.111716092,0.027628705,225,0.75794071,4.161675322,40.00937599,2,3.385786057,302.0424805,327.8700562,44.19122314,0
P4,2023,733897.2035,3855883.56,0,0,0,0,0,0,0,0,0,0,0.498636693,0.069568984,0.965496466,4807,85.44381714,0,43.63532769,4,3.528907776,302.6382751,330.1992493,37.927742,0
P5,2023,729757.2035,3866233.56,10.502,31.506,2.3333,1.2313,72.4138,71.044,0.2436,0.025946051,0,0.040651681,0.773225546,0.060952711,0.568867136,881,17.93163681,0,38.41534043,5,3.567609787,302.6850891,327.7599487,38.22287369,0
P6,2023,672487.2035,3815863.56,2.1004,66.1626,2.2927,2.2927,93.2996,40.2895,0.5187,0.755402485,0.026011948,0,0.88441503,0.053593142,0,31,0.788134933,0,31.75720878,2,3.76022768,301.2388,372.0832214,43.40062714,0
P7,2023,764257.2035,3833803.56,0,0,0,0,0,0,0,0,0,0,0.547594965,0.027245705,0.39101466,327,8.05272007,11.59307238,46.24455328,3,3.421559095,301.9434814,334.374054,42.67114639,0
P8,2023,777367.2035,3824143.56,0,0,0,0,0,0,0,0,0,0,0.775938749,0.051273543,0.046376514,223,0.650805831,2.78639809,50.8528458,2,3.330096245,301.5811157,328.2533875,46.05696869,0
P9,2023,688357.2035,3804133.56,0,0,0,0,0,0,0,0,0,0,0.625195086,0.042627505,0.629897405,1175,3.825815439,2.325081838,42.94760697,3,3.559630394,301.8013916,371.1973267,36.64011765,0
P10,2023,741487.2035,3833113.56,4.2008,27.7253,2,1.537,74.4186,75.4855,0.2016,0,0,0.051039698,0.603845596,0.036761168,0.354164021,635,9.791787148,2.089930166,38.63749242,4,3.405689478,301.5739441,335.8055725,42.26660156,0
P11,2023,695947.2035,3804133.56,14.7028,149.3384,4.5333,3.0252,73.0964,12.6134,0.6733,0.109640832,0.295906576,0,0.745878518,0.07306903,0.013232514,66,3.186714172,0,38.45420379,3,3.45042491,301.1090088,357.7781372,36.25801468,0
P12,2023,707677.2035,3826903.56,0,0,0,0,0,0,0,0,0,0,0.722573757,0.021656368,0.122604802,543,10.97281265,0,43.83038105,3,3.26345253,300.5921021,345.2632446,40.65139771,0
P13,2023,742177.2035,3831043.56,6.3012,10.0819,1.6,1,40,92.4782,0.0535,0.009451796,0,0,0.616184652,0.061426016,0.188897527,496,10.83192158,0,39.38176885,4,3.39183259,301.5471802,335.830658,42.66122437,0
P14,2023,773917.2035,3828973.56,0,0,0,0,0,0,0,0,0,0,0.728857517,0.040745492,0.081392429,233,1.339935541,0.974264915,46.42634153,2,3.373258829,301.7675781,328.2528992,44.72303772,0
P15,2023,688357.2035,3808963.56,2.1004,6.3012,1,1,100,93.4251,0.0535,0.009451796,0,0,0.729412973,0.042645334,0.003780718,204,2.794951677,0,40.38783359,3,3.583693266,301.945343,372.9153442,37.32730865,0
P16,2023,682147.2035,3811723.56,6.3012,16.3831,2.5,1.3889,25,88.2565,0.0862,0,0.02004853,0,0.597686648,0.022180533,0.100041156,256,3.132260084,3.18728578,40.09503705,3,3.678092718,301.8118896,376.2727661,39.93098068,0
